title,description,employer,link,tags,source,date,locations
استخدام مدیر فروش,"ارتباط موثر با خریداران جهت افزایش رضایتمندی
آنالیز نقاط قوت و ضعف فرآیند واحد و ارائه پیشنهادات سازنده
برنامه ریزی عملیاتی، سازماندهی، تجزیه و تحلیل بازار و نظارت بر عملکرد واحد
برنامه ریزی و بازدید دوره ای از خریداران کل کشور و ثبت نتایج در سامانه هوشمند
تحلیل عملکرد تیم فروش و خریداران
تهیه و تحلیل گزارشات موردی، دوره ای و نتایج از عملکرد واحد و ارسال به مافوق
تهیه و تدوین استراتژی خلاقانه و تأثیرگذار بر مخاطبین بازار به منظور توسعه سهم بازار
تهیه و تدوین اهداف سالیانه و تحلیل نتایج واحد
حصول اطمینان از اجرای برنامه های آموزشی کارکنان واحد
شناسایی پتانسیل‌های فروش و پیشنهاد فرصت‌های تجاری جدید
مدیریت و نظارت بر کلیه امور فروش
مستند سازی عمليات، اطلاعات و فعاليت‌ها و ارائه آن ها در قالب الگوی گزارش کار مصوب
مشاركت در تهیه و تدوین بودجه ساليانه شرکت (در صورت نیاز)
مشارکت در پياده سازی نظام كيفي و رفع مشكلات موجود طبق ضوابط تعیین شده
طراحی فرآیندهای پیشگیرانه بمنظور کاهش اشتباهات و تأثیر منفی در عملکرد واحد
مشارکت در تهیه و تدوین بودجه سالیانه واحد مارکتینگ (در صورت نیاز)
مصاحبه تخصصی با داوطلبین واحد فروش جهت استخدام
نظارت برتایید فاکتور های فروش ثبت شده از خریداران در سامانه جامع تجارت ایران
هدایت، آموزش و ایجاد انگیزه در واحد فروش جهت تحقق اهداف، حفظ و ارتقای خریداران
تهیه و تحلیل نقاط قوت و ضعف اشتراتژی رقبا در بازار و انجام تحلیل‌های SWOT برای تعیین راهبردهای مناسب در مقابل رقبا
حضور مستمر در بازار، تجزیه و تحلیل اطلاعات بمنظور آگاهی از نقاط قوت و ضعف واحد فروش
جلسه در کارخانه هر 45 روز واقع در شهر صنعتی هشتگرد (استان البرز)",ویستابست,https://karboom.io/jobs/reobpv/%D9%85%D8%AF%DB%8C%D8%B1-%D9%81%D8%B1%D9%88%D8%B4,,karboom,فوری,تهران
استخدام مسئول خدمات فنی,"اخذ پیشنهادات و انتقادات احتمالی خریداران و ثبت نتایج در سامانه هوشمند
ارتباط موثر با خریداران جهت افزایش رضایتمندی
اسکن، آرشیو فنی و الکترونیکی مدارک مرتبط
آنالیز نقاط قوت و ضعف فرآیند واحد و ارائه پیشنهادات سازنده
بازدید اولیه فنی از متقاضیان همکاری و ثبت نتایج در سامانه هوشمند
بررسي شكايات متقاضیان، تفكيك و تحلیل براساس نوع اعلام شده و پيگيري تا رفع
برنامه ریزی و اجرای دوره های آموزشی برای خریداران در زمینه الزامات فنی تولید و نصب در و پنجره
برنامه ریزی و بازدید از نمايشگاه هاي منتخب با هماهنگی مافوق و ثبت نتایج در سامانه هوشمند
برنامه ریزی، بازدید دوره ای و گریدبندی خریداران کل کشور و ثبت نتایج در سامانه هوشمند
تهیه و تحلیل گزارشات موردی، دوره ای و نتایج از عملکرد واحد و ارسال به مافوق
راهنمایي خریداران و متقاضیان در انتخاب محصول از نظر مشخصات فني
شناسایی حساسيت ها، تجزیه و تحلیل بازار
شناسایی، تحلیل و خلق بازارهای جدید برای محصولات شرکت
کنترل و حصول اطمینان از اجرای تمامی امور تحت تصدی مطابق مقررات و روش های مصوب شرکت
مذاكره با خریداران، دریافت نظرات در رابطه با خدمات فنی فروش و تهیه گزارش برای برنامه‌ريزي آتی
مستند سازی عمليات، اطلاعات و فعاليت‌ها و ارائه آن ها در قالب الگوی گزارش کار مصوب
مشارکت در پياده سازي نظام كيفي و رفع مشكلات موجود طبق ضوابط تعیین شده
مشارکت در تهیه و تدوین بودجه سالیانه واحد مارکتینگ (در صورت نیاز)
هماهنگي با آزمايشگاه شرکت و تبادل اطلاعات و مدارك موردنياز مرتبط با شكايات مشتريان
جلسه با مدیران ذی نفع جهت بررسي انحراف از استاندارد ها و رفع مغايرت",ویستابست,https://karboom.io/jobs/wlxnjy/%D9%85%D8%B3%D8%A6%D9%88%D9%84-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%81%D9%86%DB%8C,,karboom,فوری,تهران
استخدام مدرس زبان انگلیسی کودکان و نوجوانان,"محدوده قیطریه
تدریس زبان انگلیسی به کودکان و نوجوانان با روش نوین و متد به روز",آموزشگاه سیحون,https://karboom.io/jobs/wjvzeg/%D9%85%D8%AF%D8%B1%D8%B3-%D8%B2%D8%A8%D8%A7%D9%86-%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3%DB%8C-%DA%A9%D9%88%D8%AF%DA%A9%D8%A7%D9%86-%D9%88-%D9%86%D9%88%D8%AC%D9%88%D8%A7%D9%86%D8%A7%D9%86,,karboom,فوری,تهران
استخدام مسئول اداری برای آموزشگاهی در قیطریه,"کارمند اداری و منشی آموزشگاه موسیقی و زبان
باهوش و با انگیزه
دارای روابط عمومی بالا
علاقه مند به کار تیمی و پیشرفت
مسلط به کامپیوتر و آفیس",آموزشگاه سیحون,https://karboom.io/jobs/wgxkbl/%D9%85%D8%B3%D8%A6%D9%88%D9%84-%D8%A7%D8%AF%D8%A7%D8%B1%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DA%AF%D8%A7%D9%87%DB%8C-%D8%AF%D8%B1-%D9%82%DB%8C%D8%B7%D8%B1%DB%8C%D9%87,,karboom,فوری,تهران
استخدام کارمند فروش و پشتیبانی آموزشگاه,"کارمند اداری و منشی آموزشگاه موسیقی و زبان
باهوش و با انگیزه
دارای روابط عمومی بالا
علاقه‌مند به کار تیمی و پیشرفت
حداقل یک سال سابقه کاری
کار با نرم‌افزار آموزشگاهی
ثبت و انجام کارهای اداری و منشی
ترجیحا محل زندگی شمال تهران
مسلط به کامپیوتر و آفیس",آموزشگاه سیحون,https://karboom.io/jobs/raeljg/%DA%A9%D8%A7%D8%B1%D9%85%D9%86%D8%AF-%D9%81%D8%B1%D9%88%D8%B4-%D9%88-%D9%BE%D8%B4%D8%AA%DB%8C%D8%A8%D8%A7%D9%86%DB%8C-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DA%AF%D8%A7%D9%87,,karboom,فوری,تهران
استخدام سوپروایزر زبان انگلیسی در محدوده شمال تهران ( قیطریه ),سوپروایزر مسلط به زبان انگلیسی (جهت انجام اموری اداری).دارای حداقل 2 سال سابقه تدریس در موسسات زبان.دارای تجربه تدریس سطوح پیشرفته زبان انگلیسی.ترجیحاً دارای تحصیلات دانشگاهی مرتبط با زبان.داشتن مدرک رسمی یا ماک آیلتس امتیاز محسوب میشود.داشتن مدرک TTC و یا سایر مدارک بین المللی زبان انگلیسی امتیاز محسوب میشود.داشتن سابقه سوپروایزری در موسسات زبان امتیاز ویژه محسوب میشود.داشتن سابقه تحصیل یا زندگی در کشورهای انگلیسی زبان امتیاز محسوب میشود.دارای روابط عمومی بالا و خوش برخورد.خلاق، فعال و دارای انگیزه پیشرفت با روحیه کار تیمی.حداقل28 سال و حداکثر 40 سال سن.به صورت پاره وقت,آموزشگاه سیحون,https://karboom.io/jobs/rjndze/%D8%B3%D9%88%D9%BE%D8%B1%D9%88%D8%A7%DB%8C%D8%B2%D8%B1-%D8%B2%D8%A8%D8%A7%D9%86-%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3%DB%8C-%D8%AF%D8%B1-%D9%85%D8%AD%D8%AF%D9%88%D8%AF%D9%87-%D8%B4%D9%85%D8%A7%D9%84-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D9%82%DB%8C%D8%B7%D8%B1%DB%8C%D9%87,,karboom,فوری,تهران
استخدام کارشناس حسابداری مالی,"ثبت اسناد مالی و خزانه
تهیه گزارشات مالی
کمک در تهیه صورتهای مالی
....",آیسان تکنام پویا,https://karboom.io/jobs/wlxegp/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1%DB%8C-%D9%85%D8%A7%D9%84%DB%8C,,karboom,فوری,تهران
استخدام سرپرست/مدیر فروش شعبه شرق مازندران,"انجام امور جاری و عملیاتی فروش و توزیع دفتر فروش

انجام عملیات فروش در قالب قرارداد هیبرید


مدیریت تیم فروش


مشارکت در جذب و ساماندهی تیم فروش


تهیه گزارشات فروش و توزیع و ارائه به مدیریت


کنترل هزینه های شعبه در چارچوب سیاست گذاری اولیه


اجرای برنامه های فروش شعبه


تعامل سازنده با نماینده فروش",آیسان تکنام پویا,https://karboom.io/jobs/rlxkel/%D8%B3%D8%B1%D9%BE%D8%B1%D8%B3%D8%AA-%D9%85%D8%AF%DB%8C%D8%B1-%D9%81%D8%B1%D9%88%D8%B4-%D8%B4%D8%B9%D8%A8%D9%87-%D8%B4%D8%B1%D9%82-%D9%85%D8%A7%D8%B2%D9%86%D8%AF%D8%B1%D8%A7%D9%86,,karboom,فوری,ساری
استخدام کارشناس تولید محتوا و دیجیتال مارکتینگ,"* تولید محتوا برای اینستاگرام، لینکدین و وبسایت
* بارگذاری پست ها و پاسخ به دایرکت ها
* تدوین تقویم محتوایی با توجه به استراتژی های موجود
* استخراج و تحلیل گزارش ها
* کپشن نویسی و کپی رایتتینگ
* * * توانایی تولید موشن و ادیت ویدئو مزیت محسوب می شود",آیسان تکنام پویا,https://karboom.io/jobs/raebqd/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AA%D9%88%D9%84%DB%8C%D8%AF-%D9%85%D8%AD%D8%AA%D9%88%D8%A7-%D9%88-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D9%85%D8%A7%D8%B1%DA%A9%D8%AA%DB%8C%D9%86%DA%AF,,karboom,فوری,تهران
استخدام کارشناس حسابداری فروش,"ثبت اسناد فروش و پخش بر اساس فاکتورهای صادره
تعیین میزان بدهی مشتریان و کنترل اعتبار مشتریان
انجام امور خزانه داری شعبه
پیگیری مطالبات شعبه
تهیه گزارشات فروش و حسابداری شعبه
مغایرت گیری حسابهای مشتریان
انجام امور اداری شعبه",آیسان تکنام پویا,https://karboom.io/jobs/wxxmne/%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1%DB%8C-%D9%81%D8%B1%D9%88%D8%B4,,karboom,فوری,آمل
