title,description,employer,link,tags,source,date,locations
Head of Data & Analytics,"Job Description:As the Data Analysis Team Lead for our E-commerce department, you will play a pivotal role in driving data-driven decision-making processes. You will be responsible for managing internal and external data analytics resources to meet our business and reporting needs. Your duties will include:Developing and incorporating new data sources and analytical tools to ensure data quality.Leading the analysis of complex datasets, including sales, market trends, and customer behavior.Applying advanced statistical methods and data mining techniques to extract actionable insights, reports, and visualizations.Job Qualifications:Master's degree in Business, Industrial Engineering, Computer Science, Information Technology, Statistics, Mathematics, or a related field.At least 6 years of experience in data analysis, data science, statistics, or a related field, with at least 2 years of supervisory experience.Critical thinking skills to understand high level business questions and objectives.Strong mathematical and analytical skillsPreferred Skills:Proficiency in data analysis tools such as Python, R, SQL, or similar.Strong analytical and problem-solving skills.Excellent communication and leadership abilities.Ability to work effectively in a fast-paced, dynamic environment.",فروشگاه های زنجیره ای افق کوروش,https://jobvision.ir/jobs/735886/استخدام-head-of-data--analytics?row=1&pageSize=30&searchId=384999677753723006&score=32.96&ReferrerJobPosition=8,,jobvision,امروز,تهران، ساعی - توانیر
مجری,توانایی در اجرا و ساخت محتوافن بیان و ارتباط بالا,کلینیک تارا,https://jobvision.ir/jobs/734479/استخدام-مجری?row=2&pageSize=30&searchId=384999677753723006&score=30.01&ReferrerJobPosition=8,,jobvision,امروز,تهران، سعادت آباد
کارشناس CRM,در حال حاضر، ما به دنبال یک کارشناس CRM هستیم که بتواند به طور موثر با مشتریان ارتباط برقرار کند و مسائل را حل کند و مدیریت شکایات را انجام دهد. چابکی و دقت در انجام امور بسیار اهمیت دارد. تجربه کاری در امور مشتریان و یادگیری سریعمسئولیت‌ها:ارائه خدمات مشتریان با کیفیت و حرفه‌ایپاسخگویی دقیق و با دقت به نیازها و پرسش‌های مشتریانمدیریت مسائل مشتریان و ارائه راه‌ حل‌های مناسبثبت و پیگیری تعاملات مشتریان در سیستم‏های مدیریت مشتریهمکاری با سایر تیم‌های برای حل مشکلات مشتریانارائه راهنمایی و مشاوره به مشتریان در مورد محصولات و خدمات موجودمهارت‌های مورد نیاز:مهارت‌های ارتباطی خوب از طریق تلفن، چت آنلاین و ایمیلتوانایی حل مسئله قوی و تجزیه و تحلیلتوانایی کار در محیط پویا و با سرعت بالاارتباط و هوش بین فردی شاخصتوانایی کار در تیم و همکاری با اعضای مختلف تیممهارت متوسط ICDLهمکاری بصورت هیبریدیمحل کار: صادقیه,دیویدجونز,https://jobvision.ir/jobs/735414/استخدام-کارشناس-crm?row=3&pageSize=30&searchId=384999677753723006&score=22.44&ReferrerJobPosition=8,,jobvision,امروز,تهران، صادقیه
کارمند اداری بازرگانی خارجی,"مسلط به بازرگانی خارجی و امور دفتری مسلط به کار با  outlook , excel , wordبا سابقه کار حداقل 5 سالیک ماه به صورت آزمایشی",تولیدی ادنان سرویس ماندگار,https://jobvision.ir/jobs/677875/استخدام-کارمند-اداری-بازرگانی-خارجی?row=4&pageSize=30&searchId=384999677753723006&score=20.9&ReferrerJobPosition=8,,jobvision,امروز,تهران، عباس آباد (بهشتی)
کارشناس حسابداری,توانایی کنترل حسابداری انبار و موجودی کالاآشنا به قوانین و مقررات مالیاتی و بیمهمسلط به اصول حسابداریتسلط به نرم افزار اکسل و سایر نرم افزارهای مالیتوانایی کار تیمیحداقل 3 سال سابقه کار در شرکتهای تولیدی,شرکت داروسازی کوثر,https://jobvision.ir/jobs/736095/استخدام-کارشناس-حسابداری?row=5&pageSize=30&searchId=384999677753723006&score=20.51&ReferrerJobPosition=8,,jobvision,امروز,تهران، چیتگر
نگهبان شب - آقا,شرایط احراز :سلامت و فیزیک مناسب،مرتب و منظم در کار ،نظارت و کنترل بر ورود و خروج و رفت و آمدها،کنترل دوربین‌ها، روابط عمومی بالا،مسئولیت پذیر،کنترل ورود و خروج وسایل نقلیهحداقل مدرک تحصیلی :دیپلم,مهندسی مبتکر الکتریک,https://jobvision.ir/jobs/736099/استخدام-نگهبان-شب---آقا?row=6&pageSize=30&searchId=384999677753723006&score=20.31&ReferrerJobPosition=8,,jobvision,امروز,رباط کریم
Quality Director,"Job Description:Managing, Plan, Codification of Quality Process for API Industries.Quality standards and trends required for the organization's products and processes and ensuring their compliance with industrial standards and relevant rules.Managing and leading the quality team, applying the capabilities and skills needed in the team, determining and applying and monitoring their performance.Ensuring customer satisfaction with the quality of products and services.Providing improvement solutions and implementing continuous activities to improve the quality of the organization's products and processes.Align and cooperation with the product development teams, quality engineering, system analysts and other related teams to ensure the conformity of the quality of products and processes.Evaluation and control of quality and management systems, standards and models, including self-evaluation and internal audit.Cultivation at all organizational levels for organizational excellence and expansion of systemic thinking.Requirement:At least 10 years of experience at Pharmaceutical field (API)Master’s degree in chemical or pharmaceuticalExcellent leadership, communication, and interpersonal skills. Ability to motivate, inspire, and mentoring the teams.Mastering the requirements and standards of quality control and laboratoryFull familiarity with the rules, requirements & principles of documentationComplete mastery of the principles of supervision and managementStrong analytical, problem-solving, and decision-making skills. Ability to navigate complex technical challenges.Verbal and written proficiency in English.",آوان بهمن شیمی,https://jobvision.ir/jobs/727283/استخدام-quality-director?row=7&pageSize=30&searchId=384999677753723006&score=19.46&ReferrerJobPosition=8,,jobvision,امروز,تهران، وردآورد
کارمند اداری - خانم,کارمند اداری و هماهنگی های اداری,آی فیت پرو,https://jobvision.ir/jobs/736062/استخدام-کارمند-اداری---خانم?row=8&pageSize=30&searchId=384999677753723006&score=19.46&ReferrerJobPosition=8,,jobvision,امروز,تهران، آرارات
کارمند اداری,1 سال سابقه کارتسلط به نرم‌افزارهای Office (خصوصا Excel)انجام امور بایگانیانجام امور قراردادهااتوماسیون اداری و دبیرخانهپاسخگویی به مراجعین حضوری و تلفنیانجام مکاتبات اداری و نامه‌نگاری و اندیکاتوردارای روحیه کار تیمی، پیگیر،منضبط و دقیقتوانایی برقراری ارتباط موثراولویت استخدام با ساکنان پردیس و حومه,آیسا مبل,https://jobvision.ir/jobs/735727/استخدام-کارمند-اداری?row=9&pageSize=30&searchId=384999677753723006&score=19.34&ReferrerJobPosition=8,,jobvision,امروز,پردیس
سرپرست فنی مهندسی,وظایف کلیدی:·     برنامه ریزی و هدایت بخش طراحی الکتریکال و مکانیکال·     تدوین برنامه جهت تولید محتوی برای محصولات و خدمات شرکت·     مدیریت تولید و نگهداری مستندات فنی و پروژه ها·     برنامه ریزی نگهداری و تعمیرات پروژه ها·     تهیه برنامه تجهیزات سخت افزاری و نرم افزاری واحد فنی·     به روز نگهداشتن چارت تشکیلاتی بخش فنی·     جذب، نگهداشت و ارتقاء نیروی های فنی·     ارزشیابی عملکرد پرسنل فنی·     تدوین و اجرای آموزش سرفصل های فنی برای پرسنل و شرکای تجاری·     تهیه پروپوزال و بیزنس پلان·     برنامه‌ریزی و مدیریت پروژه و نظارت بر سرپرست کارگاه·     شناسایی، جذب، آموزش و نظارت بر پیمانکاران اجرایی·     مذاکره و عقد قرارداد با پیمانکاران·     نظارت بر تهیه صورت وضعیت هامهارت‌های مورد نیاز:·     تجربه کاری موثر به عنوان سرپرست فنی در هدایت و برنامه ریزی واحد فنی و مهندسی·     تحصیلات کارشناسی در یکی از رشته های مدیریت یا مهندسی·    تسلط کامل به مطالعه مدارک فنی انگلیسی·     مسلط به مذاکرات حرفه ای و انجام مکاتبات رسمی·     مهارت حل مساله·     توانمند در تحلیل داده و تنظیم گزارشات·     مسلط به شیوه ارائه مطالب و برگزاری جلسات آموزش یا سمینارهای تخصصی·     مهارت‌های ارتباطی و رهبری·     توانایی در مدیریت پروژه و تیمشرایط همکاری:·     محل کار: تهران·     دو پاداش نقدی در هر سال·     فرصت ایده آل رشد در حوزه های فنی و مدیریتی·     ارتباط با کمپانی های رده بالای بین المللی,آوند انرژی,https://jobvision.ir/jobs/682991/استخدام-سرپرست-فنی-مهندسی?row=10&pageSize=30&searchId=384999677753723006&score=18.08&ReferrerJobPosition=8,,jobvision,امروز,تهران، پاسداران
