,title,description,employer,link,tags,city,date
0,استخدام کارآموز ASP.NET Core,ما در تیم سمت سرورمون، به دنبال فرد پر انرژی و فعالی هستیم که عاشق سرور و بک اند (BackEnd) است... از دیدن صفحه سیاه کدها و سورس ها خسته نمی شود و با حل مسائل انتزاعیدر معماری پایگاه داده مشکلی ندارد.. همچنین علاقه ی بسیاری به یادگیری هرچه بیشتر در زمینه تخصصی خود دارد...با صبر و حوصله مداوم، مستندات زبان اصلی را مطالعه می کند... دید ما به این همکاری بلند مدت بوده و دوران کارآموزی به علت همکاری در پروژه های واقعی نیازمند جدیت و کارتیمی قوی می باشد.   شرایط عمومی  امکان همکاری به صورت تمام وقت (حداقل ۳۵ ساعت در هفته) علاقه مند به یادگیری و به روز رسانی دانش فردی خلاق ، پویا و با انگیزه و سرعت عملکرد بالا بسیار منظم و بسیار مسئولیت پذیر توانایی انجام کار گروهی امکان دورکاری (شرایط خاص)   ,نادین سافت,https://quera.org//magnet/jobs/v7jr8,"['SQL', 'API', 'Back-end', 'C#', 'ASP.NET', 'Intern', 'تمام وقت']",unknown,۲۷ اسفند ۱۴۰۲،‏ ۱۴:۲۴
1,استخدام توسعه‌دهنده ASP.NET Core,ما در تیم سمت سرورمون، به دنبال فرد پر انرژی و فعالی هستیم که عاشق سرور و بک اند (BackEnd) است... از دیدن صفحه سیاه کدها و سورس ها خسته نمی شود و با حل مسائل انتزاعی در معماری پایگاه داده مشکلی ندارد...با استفاده از تکنولوژی های جدید، معماری های جذاب را رقم میزند و علاقه ی بسیاری به یادگیری هرچه بیشتر در زمینه تخصصی خود دارد...با صبر و حوصله مداوم، مستندات زبان اصلی را مطالعه می کند...اگر فرد بسیار فعال و پر انرژی هستید و در جهت پیشرفت خودتون تلاش زیادی میکنید، ما منتظر شما هستیم....لطفا قبل از ارسال رزومه، موارد زیر را مطالعه نمایید:,نادین سافت,https://quera.org//magnet/jobs/r7qmq,"['SQL', 'API', 'Back-end', 'C#', '.NET Core', 'Junior', 'تمام وقت', 'امکان دورکاری']",تهران,۶ فروردین ۱۴۰۳،‏ ۱۴:۵۰
2,استخدام کارآموز Vue.js,"ما در تیم خودمون به دنبال فرد پر انرژی و فعالی هستیم که عاشق توسعه صفحات وب با استفاده از تکنولوژی های HTML, CSS, JavaScript هست؛ همچنین علاقه بسیاری به یادگیری نحوه پیاده سازی صفحات وب با کتابخانه Vue.js دارد. اگر فرد بسیار فعال و پر انرژی هستید و در جهت پیشرفت خودتون تلاش زیادی میکنید، ما منتظر شما هستیم ... لطفا قبل از ارسال رزومه، موارد زیر را مطالعه نمایید:شرایط عمومی  امکان همکاری به صورت تمام وقت (حداقل 40 ساعت در هفته) علاقه مند به یادگیری و به روز رسانی دانش فردی خلاق ، پویا و با انگیزه منظم و بسیار مسئولیت پذیر توانایی انجام کار گروهی ",نادین سافت,https://quera.org//magnet/jobs/x7dr9,"['JavaScript', 'CSS', 'Vuetify.js', 'TypeScript', 'Vue.js', 'Intern', 'تمام وقت', 'امکان دورکاری']",unknown,۶ فروردین ۱۴۰۳،‏ ۱۴:۵۸
3,استخدام مدیر آموزش Back-end,ما در کوئرا به دنبال یک هم تیمی مسئولیت پذیر، پرانرژی و علاقه مند به آموزش هستیم که به عنوان مدیر بخش آموزش Back-end کوئرا؛ ما رو در تحقق اصلی ترین هدفمون یعنی ساختن جامعه ای برای برنامه نویسان همراهی کنه. از مهم ترین و ارزشمندترین کارهای ما در کوئرا، آموزش برنامه نویسی در همه ی سطوح و برگزاری مسابقه هاست. این کارها در این پوزیشن در قالب پیش برده می شوند:  طراحی دوره های آموزش برنامه نویسی در زمینه ی Back-end مربی گری و پاسخگویی به سوالات مهارت جویان کوئرا کالج آماده سازی سوالات تکنولوژی برای مسابقه ها و مهارت سنجی ها  شما در این موقعیت شغلی به عنوان مدیر آموزش بخش BackEnd، وظیفه ی مدیریت کارهای گفته شده در زمینه Back-end رو دارید و یک تیم خفن حدودا ده نفره در این راه در کنارتون هستند. در این موقعیت شما می تونید در حوزه های آموزشی و مدیریتی یادگیری داشته باشید و تجربه های مختلف کسب کنید!اگر ادامه مسیر شغلی تون رو در حیطه آموزش می بینید، این موقعیت براتون ایده آله! اگر فضای آموزش برنامه نویسی و پیشرفت در کارهای مدیریتی براتون جذابه و تجربه ی فنی دارید، خوشحال می شیم بتونیم بیشتر با هم آشنا بشیم :),Quera,https://quera.org//magnet/jobs/86kk9,"['Python', 'Django', 'Laravel', 'Go', 'Back-end', 'Senior', 'تمام وقت']",unknown,۱۸ فروردین ۱۴۰۳،‏ ۱۶:۰۱
4,استخدام Junior Front-end Developer (React),اگه بخواین مشخص ترین ویژگی افرادی که از صفر شروع می کنن و در فرصت کوتاهی خیلی سریع رشد می کنن رو نام ببری، اون ویژگی چیه؟ جواب ما به این سؤال، «روحیه ی حل مسئله»  ست. اینکه یک نفر از توان و ظرفیت یادگیریش استفاده کنه و تجربه هاش رو با خلاقیت به ایده های نو تبدیل کنه، همون روحیه ایه که در سحاب به دنبالشیم. اگه این ویژگی ها رو در خودت می بینی و به React هم علاقه داری، ما تو سحاب منتظرتیم تا این مسیر رو با هم شروع کنیم.,سحاب,https://quera.org//magnet/jobs/x78m6,"['JavaScript', 'HTML', 'CSS', 'React', 'TypeScript', 'Junior', 'تمام وقت']",تهران,۱۰ اردیبهشت ۱۴۰۳،‏ ۱۲:۴۹
5,استخدام Senior Front-end Developer (React),به عنوان یک توسعه دهنده ی ارشد React، با لایه های عمیق تری از نرم افزار مثل معماری، درگیر میشید و دانش شما در زمینه ی مهندسی نرم افزار، مهم تر از یک تکنولوژی یا زبان خاصه. تجربه چند ساله شما در این زمینه، لازمه ی تصمیم گیری درست در مواقع خاص و هدایت و آموزش نیروهای تازه کار تره. توانایی درک و تحلیل درست مسئله و ارائه راه حل بهینه برای مسائل یکی از مهم ترین توانمندی های شما در این نقشه.,سحاب,https://quera.org//magnet/jobs/r7qrq,"['HTML', 'CSS', 'TypeScript', 'JavaScript', 'React', 'Senior', 'تمام وقت', 'امکان دورکاری']",تهران,۱۰ اردیبهشت ۱۴۰۳،‏ ۱۲:۴۹
6,استخدام Senior UI/UX Designer,ما در دپارتمان طراحی سحاب به دنبال طراح محصولی با توانمندی های مرتبط در حوزه های تجربه کاربر، رابط کاربر و تحقیق کاربری هستیم. طراح محصول سحاب می بایست تجربه ای قابل اثبات در طراحی محصولات و درک عمیقی از اصول و فرایند های طراحی کاربرمحور داشته باشد. از هم تیمی هامون در تیم طراحی سیستم سحاب انتظار داریم در تعامل با بقیهٔ تیم در حصول اطمینان از یکپارچگی و بهینه بودن محصولات سازمان به ما کمک کند. مسئولیت ها  مطالعه و تحلیل نیازمندی های کاربر و تجربه  کاربر تبدیل ایده ها به راه حل های کاربردی و ارزشمند برای کاربران نقش فعال در تصمیمات استراتژیک درمورد آینده  محصولات جمع آوری بازخورد در جهت بهبود مداوم کیفیت و افزایش رضایت در محصولات مشارکت در طراحی دیزاین سیستم  در مقیاس سازمانی ارائه رویکرد های خلاقانه در طراحی و بهبود سیستم ها رعایت اصول و فرایند های دیزاین کاربر محور ارتباط با تیم دیزاین سیستم جهت یکپارچه سازی و رعایت استانداردهای بالای سحاب در دیزاین محصولات     ,سحاب,https://quera.org//magnet/jobs/g9g6x,"['Adobe Illustrator', 'Figma', 'Senior', 'تمام وقت']",تهران,۱۰ اردیبهشت ۱۴۰۳،‏ ۱۲:۴۸
7,استخدام برنامه‌نویس WordPress (اصفهان),آیا برنامه نویسی هستی که میتونی صفر تا صد یک پروژه وردپرسی را جلو ببری! ما بسیار هیجان زده هستیم که یک برنامه نویس وردپرس را دعوت کنیم تا به عضوی حیاتی در تیم ما تبدیل بشه. ما نیاز به آدم های خود جوش داریم افرادی که بتوانند موقعیت های مختلف را مدیریت کرده و تیم ستاره های ما را تکمیل کنند. اگر آنقدر قوی هستی که از پس چنین موقعیت حساس بربیای، به استاندارد های بالای ما برسی و هم پای شرکت ما رشد کنی، روزمه ات رو برای ما ارسال کن، چرا که همیشه اعضای تیم ما بر اساس عملکردشان ارتقاء می یابند، نه براساس سمت و نه بر اساس جایگاه.   به عنوان یک برنامه نویس وردپرس در راست چین :  اگر با HTML/CSS/jQuery آشنایی داری. برنامه نویسی PHP ازمهارته. تسلط کامل به ویرایش و ساخت فایل استایل برای زبان فارسی (RTL.CSS)را داری. اگر به نرم افزار Poedit Pro تسلط کامل داری. اگر به زیروبم کنترل پنل هاست (cPanel) مسلطی. اگر طراحی قالب ها و افزونه های وردپرسی را بلدی.اینجا یک تیم قوی داره دنبال ستاره های بیشتر میگرده تا بتونه محصولات قدرتمندی را به بازار ارائه کنه.همراهی با یک تیم حرفه ای یعنی قرار گرفتن در مسیر رشد.اگردوست داری در این راه مارا همراه باشی رزومه ات را ارسال کن تا بتونیم در کنار یکدیگر گامهای موثری  را  برداریم.   ,راست چین,https://quera.org//magnet/jobs/qpwvx,"['HTML', 'CSS', 'Bootstrap 5', 'WordPress', 'Senior', 'تمام وقت', 'امکان دورکاری']",اصفهان,۱۰ اردیبهشت ۱۴۰۳،‏ ۱۰:۴۸
8,استخدام برنامه‌نویس WordPress (تهران),آیا برنامه نویسی هستی که میتونی صفر تا صد یک پروژه وردپرسی را جلو ببری! ما بسیار هیجان زده هستیم که یک برنامه نویس وردپرس را دعوت کنیم تا به عضوی حیاتی در تیم ما تبدیل بشه. ما نیاز به آدم های خود جوش داریم افرادی که بتوانند موقعیت های مختلف را مدیریت کرده و تیم ستاره های ما را تکمیل کنند. اگر آنقدر قوی هستی که از پس چنین موقعیت حساس بربیای، به استاندارد های بالای ما برسی و هم پای شرکت ما رشد کنی، روزمه ات رو برای ما ارسال کن، چرا که همیشه اعضای تیم ما بر اساس عملکردشان ارتقاء می یابند، نه براساس سمت و نه بر اساس جایگاه.  ,راست چین,https://quera.org//magnet/jobs/9w9xq,"['CSS', 'WordPress', 'HTML5', 'PHP', 'Senior', 'تمام وقت', 'امکان دورکاری']",تهران,۱۰ اردیبهشت ۱۴۰۳،‏ ۱۰:۴۸
9,استخدام Software Engineer,توجه: لطفا قبل از ارسال رزومه قسمت مهارت های مورد نیاز مطالعه شود!!! ماموریت راستین راستین، یک استارت آپ فین تک (فناوری مالی) تو حوزه کریپتو هست و تقریبا دو سال است از ارائه اولین محصول به بازار می گذرد. ما سعی می کنیم تا با ساده کردن مفهوم پیچیده بلاکچین و پیدا کردن راه های ارزش آفرین، از ظرفیت این تکنولوژی برای توسعه محصولات کاربردی استفاده کنیم. استارتاپ ما با محیط کاری پویا و سریع، به مسئولیت پذیری، خلاقیت و مشتری مداری اهمیت می دهد. به عنوان عضوی از تیم ما، این فرصت را خواهید داشت که روی پروژه های هیجان انگیزی کار کنید که تاثیر واقعی بر تجارت و بازار ما خواهند داشت.   فرهنگ و ارزش های راستین مسئولیت پذیری مهمترین ارزش فرهنگی راستین است. اعضای راستین دنبال به عهده  گرفتن مسئولیت های جدید و چالشی هستند و خود را مسئول به نتیجه رساندن آن وظایف می دانند. به آن ها آزادی عمل داده می شود ولی در قبال نتیجه ی آن مسئول هستند. ارزش بعدی که در راستین اهمیت دارد توانایی کار تیمی است. در راستین معتقدیم همه ی کار های بزرگ در بستر تیم انجام می شود و کسانی که دارای این توانایی نباشند جایی در فرهنگ راستین ندارند. افرادی که غرور زننده ای دارند و یا کسانی که نمی توانند ارتباط مناسبی با دیگران برقرار کنند راستین جای آن ها نیست! و در نهایت سرعت! ما به سرعت اعتقاد داریم. البته منظورمان سرعتی نیست که کیفیت را کاهش دهد. ما معتقدیم همه ی کار هایی که به نظر سخت و طولانی به نظر می رسند معمولا  راه های هوشمندانه و سریعی دارند. ما دنبال این راه های هوشمندانه ای هستیم که بتواند سرعت ما را چندین برابر دیگران کند.   مسئولیت های یک مهندس نرم افزار در راستین ما در راستین با حجم بالایی از ریکوئست ها در مدت زمانی کوتاه روبه رو هستیم. چنین شرایطی نیازمند طراحی و توسعه سامانه هایی با اسکیل و قابلیت گسترش بالا و هزینه نگهداری پایین با استفاده از ابزارهای روز دنیاست. شما با ملحق شدن به تیم ما، تجربه کار با هم تیمی های خلاق و بااستعداد را خواهید داشت که مسئولیت تحویل کدهای باکیفیت برای مدیریت میلیون ها ریکوئست ماهیانه را دارند. همچنین در این موقعیت شغلی نیاز داریم هم تیمی جدیدمون با تجربه مناسب، مفهوم اسکیل پذیری را درک کند و در راستای عبور از حجم بالای فعالیت ها تکنیکال عبور کنیم. بنابراین به عنوان « Software Engineer » در راستین مسئولیت انجام وظایف زیر را به عهده خواهید داشت:  تولید کد های با کیفیت به زبان پایتون بهبود زیرساخت ها و توسعه سرویس های جدید آشنایی کافی با حداقل یکی از متدولوژی های اجایل دانش کافی از مفاهیم پایه ی علوم کامپیوتر همکاری با سایر اعضای تیم فنی کمک به مقیاس پذیری استارتاپ ایجاد بستر مناسب برای توسعه محصول علاقه به یادگیری تکنولوژی های روز دنیا ,راستین,https://quera.org//magnet/jobs/v7jpr,"['PostgreSQL', 'Redis', 'Python', 'Django', 'Junior', 'تمام وقت']",تهران,۹ اردیبهشت ۱۴۰۳،‏ ۱۶:۰۵
