,title,description,employer,link,tags,city,date
0,"
                      برنامه‌نویس Full Stack
                  ","
شرایط احراز عمومی: ·        مسئولیت پذیری و مدیریت تسک ها جهت تحویل در زمان مناسب·        دارای مهارت حل مسأله (Problem Solving)·        مسلط به جستجو و یافتن راه حل ها·        دارای روحیه کار تیمی، منظم و پیگیر·        آشنا به زبان انگلیسی ( نوشتاری و درک مطلب)شرایط احراز اختصاصی: ·        مسلط به PHP و MySQL (و دیتابیس ها)·        مسلط به معماری MVC·        مسلط به ساختارهای ماژولار·        مسلط به مفاهیم اساسی وب و اپلیکیشن ها·        مسلط به فریمورک لاراول·        مسلط به API نویسی در لاراول·        آشنایی کامل به html/css/javascript/bootstrap·        آشنایی کامل با react·        مسلط به Git·        مسلط به SOLIDشرایط احراز دارای امتیاز: ·        آشنایی با Microservice
",اگروتک|Agrotech,https://jobinja.ir/companies/bazargan-kala/jobs/AFD6/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-full-stack-%D8%AF%D8%B1-%D8%A7%DA%AF%D8%B1%D9%88%D8%AA%DA%A9?_ref=16,"['وب،\u200c برنامه\u200cنویسی و نرم\u200cافزار', 'تهران، تهران', 'تمام وقت', '', 'از ۱۰,۰۰۰,۰۰۰ تومان', 'Full-stack', 'MySQL', 'MVC', ' Git', 'SOLID', 'PHP', '', 'مهم\u200c نیست', '']","
تهران،تهران
","
          
                          (امروز)
            
                  "
1,"
                      کارشناس فروش تلفنی (خانم)
                  ","
ما در حال جذب 10 متخصص فروش تلفنی با سابقه هستیم که بتوانند در محیط شرکت، پاسخگوی درخواست‌های ایجاد شده در تبلیغات گسترده باشند، فرد متقاضی می‌بایست متخصص فروش تلفنی و مذاکره کننده‌ای قهار و نتیجه محور باشد، تا بتواند از 12 درخواستی که در نرم‌افزار CRM، در اختیارشان قرار می‌گیرد، حداقل 4 عدد از آن درخواست‌ها را به فروش نهایی تبدیل کند، در صورت تحقق این نرخ تبدیل، سیستم درخواست‌های بیشتری را بصورت خودکار در اختیار ایشان قرار خواهد داد.* این نکات خیلی براتون مهمه *این سمت شغلی، درآمدی معادل 20 تا 100 میلیون تومان را برای فرد متخصص به‌همراه خواهد داشت.در همکاری با ما نیاز به بازاریابی نخواهید داشت، چون درخواست‌ها از تبلیغات گسترده ایجاد می‌شوند.تمامی درخواست کنندگان خرید محصول، جزو صاحبان کسب و کار و یا مدیران تصمیم گیر آنها هستند. قیمت محصول 6 میلیون تومان است و رضایت مصرف کنندگان آن در استفاده، امتیاز 4.9 از 5 می‌باشد.این محصول، 7 سال سابقه تولید دارد و در بیش از 100 هزار کسب و کار مورد استفاده قرار گرفته است.محل کار شرکت نیک اس ام اس سعادت آباد تهران می‌باشد، متقاضیان نزدیک در اولویت خواهند بود.  الزامات استخدامی       داشتن حداقل 5 سال سابقه کار (قابل اثبات) در فروش الزامی استاستخدام فقط بصورت تمام وقت (با پنجشنبه) انجام می‌گیردداشتن حداقل مدرک کارشناسی جهت پذیرش الزامی است  الزامات مهارتیداشتن تسلط در کار با اینترنت و نرم افزارهای ارتباطیداشتن تسلط کاربردی کار با نرم افزار Word و Excelداشتن سابقه کار با نرم افزارهای مدیریت ارتباط با مشتری (CRM) تسلط به مهارت‌های فروش و مذاکره (تلفنی و حضوری)توانمندی در یادگیری و درک سریع مشخصات محصولات و خدماتتوانمندی در انجام همزمان چند کار، اولویت‌بندی با رویکرد نتیجه محور  مسئولیت هاپاسخگویی موثر و نتیجه محور به درخواست‌های (مشاوره خرید)تلاش فزآینده به منظور رسیدن به حد نصاب نرخ تبدیل ورودی به فروش نهاییثبت بهنگام و دقیق نتایج تماس‌ها در نرم افزار CRM جهت پیگیری های آتی
",نیکاساماس|NIKSMS,https://jobinja.ir/companies/kendez/jobs/C5Cr/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D8%AA%D9%84%D9%81%D9%86%DB%8C-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%D9%86%DB%8C%DA%A9-%D8%A7%D8%B3-%D8%A7%D9%85-%D8%A7%D8%B3?_ref=16,"['فروش و بازاریابی', 'تهران، تهران', 'تمام وقت', 'سه تا شش سال', 'از ۲۰,۰۰۰,۰۰۰ تومان', 'فروش تلفنی', 'اصول و فنون مذاکره', 'فروش', 'زن', 'کارشناسی']","
تهران،تهران
","
          
                          (امروز)
            
                  "
2,"
                      کارشناس تولید و مدیریت محتوا (کرج)
                  ","
دپارتمان آژانس املاک علیرضا مهریجهت تکمیل کادر خود از بین متقاضیان واجد شرایط دعوت به همکاری می نماید:مسلط به تبلیغات در اینستاگرام مدیریت اینستاگراماستوری مارکتینگ تولید محتوامدیریت ارتباط با مشتریان در کانال های سوشال و فروش در دایرکتپاسخ گویی به دایرکت و کامنت مهارت جست و جوی حرفه ای ،روحیه ی  بالای پژوهشی اشنا با تکنیک های بالا بردن بازدید و جذب ممبرحفظ امنیت پیج کپشن نویسی قوی 
",مهریویلا|Mehrivilla,https://jobinja.ir/companies/mehrivilla/jobs/AFlB/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AA%D9%88%D9%84%DB%8C%D8%AF-%D9%88-%D9%85%D8%AF%DB%8C%D8%B1%DB%8C%D8%AA-%D9%85%D8%AD%D8%AA%D9%88%D8%A7-%DA%A9%D8%B1%D8%AC-%D8%AF%D8%B1-%D9%85%D9%87%D8%B1%DB%8C-%D9%88%DB%8C%D9%84%D8%A7?_ref=16,"['تولید و مدیریت محتوا', 'البرز، کرج', 'تمام وقت', 'سه تا شش سال', 'توافقی', 'تولید محتوا', 'شبکه های اجتماعی', 'مدیریت محتوا', '', 'مهم\u200c نیست', 'کارشناسی']","
البرز،کرج
","
          
                          (امروز)
            
                  "
3,"
                      کارشناس حسابداری
                  ","
مسئولیت اصلی :ثبت اسناد حسابداریحقوق و دستمزد و بیمهگزارشات فصلی و ارزش افزودهانجام مغایرت گیری حساب هامدیریت وجوه نقد و تنخواه گردان هاتهیه صورت های مالیشرایط و مزایای شغلی :ساعت کار از 8 صبح تا 5 بعد از ظهر امکان تغییر روزهای تعطیلپذیرایی صبحانه و ناهارامکانات رفاهی و انگیزشیالزامات و مهارتها : آشنا به حسابداری فروش و حسابداری عمومیمسلط به حسابداری انبارتسلط کافی به فرایندهای مالی و استانداردهای حسابداریآشنایی با نرم افزار Officeآشنایی با تهیه گزارشات روزانه، ماهانه، فصلی و سالانهمسئولیت پذیر، دقیق، پیگیر و منظم
",رستورانجوانهنرور2|RestoranJavanHonarvar2,https://jobinja.ir/companies/restoran-javan-honarvar2/jobs/A0PU/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86-%D8%AC%D9%88%D8%A7%D9%86-%D9%87%D9%86%D8%B1%D9%88%D8%B1-2?_ref=16,"['مالی و حسابداری', 'تهران، تهران', 'تمام وقت', 'سه تا شش سال', 'توافقی', 'مالیات ارزش افزوده', 'ثبت اسناد حسابداری ', 'مالی و حسابداری', '', 'مهم\u200c نیست', 'کارشناسی']","
تهران،تهران
","
          
                          (امروز)
            
                  "
4,"
                       کارشناس تامین هتل (داخلی و خارجی)
                  ","
-برقراری و توسعه روابط با هتل ها، آژانس ها و کارگزاران با هدف تقویت و گسترش زنجیره ی تامین هتل-بازاریابی و معرفی وب سایت بوکینگ در حوزه ی صنعت گردشگری و هتلداری-برنامه ریزی و اجرای استراتژی ها در مسیر رسیدن به اهداف مشخص شده-پیگیری مسائل مالی و مدیریت پرداخت ها به تامین کنندگان-آنلاین کردن فروش هتل ها و پیگیری مشکلات کاری و نرم افزاری مرتبط با این موضوع-تهیه گزارشات دوره ای و منظم از وضعیت محصول در مقایسه با رقبا، گزارش از میزان سهم بازار و گزارش از کیفیت رزروها از لحاظ نرم افزاری و پشتیبانی-مدیریت بخش فروش آفلاین و به روز بودن اطلاعات نرخی هتل ها-توانایی و تجربه در شناسایی، پیگیری و رفع مشکلات کاربران از لحظه ورود به سایت تا زمان خروج از هتل***توانایی های تخصصی***-تسلط به صنعت گردشگری و قوانین حاکم بر رزرواسیون هتل-دارای سابقه کاری در بخش های فروش و پشتیبانی هتل-آشنایی با نرم افزارها، وب سایت ها و شبکه های فروش آنلاین و آفلاین هتل-توان برقراری ارتباط موثر با تامین کنندگان***توانایی های عمومی***-آنکال و در دسترس بودن خارج از تایم کاری-صبوری و حفظ آرامش در زمان بروز مشکلات روزمره با هتل ها، کارگزاران و آژانس های هواپیمایی-توانایی نگارش و مستند سازی مسائل کاری***شروط اصلی همکاری***-حداقل دو سال کار مرتبط در حوزه ی تامین و رزرواسیون هتل-ساکن تهران-کار تمام وقت و حضوری-تک شغله بودن-دانشجو نبودن-حضور در دفتر کار قبل از ساعت 9 صبح***مزایای شغلی***-پرداخت حقوق به صورت ماهانه و منظم-بیمه تامین اجتماعی-تشویق های دوره ای بر اساس عملکرد
",سفرهایکیش|SafarhayeKish,https://jobinja.ir/companies/safarhaye-kish/jobs/AFDR/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AA%D8%A7%D9%85%DB%8C%D9%86-%D9%87%D8%AA%D9%84-%D8%AF%D8%A7%D8%AE%D9%84%DB%8C-%D9%88-%D8%AE%D8%A7%D8%B1%D8%AC%DB%8C-%D8%AF%D8%B1-%D8%B3%D9%81%D8%B1%D9%87%D8%A7%DB%8C-%DA%A9%DB%8C%D8%B4?_ref=16,"['گردشگری', 'تهران، تهران', 'تمام وقت', 'کمتر از سه سال', 'توافقی', 'تامین', 'رزرواسیون هتل', 'گردشگری', '', 'مهم\u200c نیست', '']","
تهران،تهران
","
          
                          (امروز)
            
                  "
5,"
                      مشاور فروش (دبی)
                  ","
ما در گروه بین المللی سرمایه گذاری MHS به و مشاوری نیاز  داریم که با اعتماد نفس و روابط اجتماعی بالا و مسلط به مشاوره داشته باشد و بتواند در دبی به صورت پاره وقت با ما همکاری داشته باشد. افرادی که تجربه فعالیت دارند و افراد با روابط عمومی بالا در اولویت قراردارند .شرایط احراز   وقت شناس منظم و پیگیردارای اعتماد به نفسروابط اجتماعی بالا و توانایی مذاکرهاشتیاق یادگیری و پیشرفتتوانایی کار تیمیمسلط به زبان انگلیسی  وظایف:تماس با مشتریان و ارائه مشاوره سرمایه گذاری پشتیبانی مشتریان مدیریت سرمایهپشتیبانی مشتریان صندوق داراییتسلط به اصول مذاکره و فروشوقت شناس،منظم و پیگیردارای حداقل 2 سال سابقه کاری مرتبط
",سرمایهگذاریMHS|MHSGroup,https://jobinja.ir/companies/mhs-group/jobs/AFD2/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%B4%D8%A7%D9%88%D8%B1-%D9%81%D8%B1%D9%88%D8%B4-%D8%AF%D8%A8%DB%8C-%D8%AF%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%DA%AF%D8%B0%D8%A7%D8%B1%DB%8C-mhs?_ref=16,"['فروش و بازاریابی', 'تهران، تهران', 'پاره وقت', 'سه تا شش سال', 'توافقی', 'انگلیسی', 'فروش و بازاریابی', 'اصول و فنون مذاکره', 'مشاوره فروش', '', 'مهم\u200c نیست', 'کارشناسی']","
تهران،تهران
","
          
                          (امروز)
            
                  "
6,"
                      کارشناس سئو (SEO)
                  ","
کارشناس سئو (seo)مسلط به ابزارهای سئو ، آنالیز و...مهارت در تعیین استراتژی ، نقشه راه و...شنبه الی چهارشنبه ساعت 9 الی 17پنجشنبه و جمعه تعطیلتعطیلات رسمی تعطیلیک روز در ماه مرخصی استحقاقیفقط به صورت حضوریمحل کار محدوده میدان رسالت(شرق تهران)
",دلبرباش|Delbarbash,https://jobinja.ir/companies/delbarbash/jobs/AFl3/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%B3%D8%A6%D9%88-seo-%D8%AF%D8%B1-%D8%AF%D9%84%D8%A8%D8%B1%D8%A8%D8%A7%D8%B4?_ref=16,"['دیجیتال مارکتینگ', 'تهران، تهران', 'تمام وقت', '', 'از ۱۲,۰۰۰,۰۰۰ تومان', ' SEO', 'SEO Off Page', 'SEO On Page', 'دیجیتال مارکتینگ', '', 'مهم\u200c نیست', '']","
تهران،تهران
","
          
                          (امروز)
            
                  "
7,"
                      حسابدار (خانم)
                  ","
کارشناس حسابداری ثبت اسناد روزانه مغاریت بانکی بایگانی کنترل تنخواه  آشنایی با مبانی مالیاتی ارزش افزوده و معاملات فصلیآشنایی با ارسال لیست بیمهساماندهی امور اداری و دفتری تنظیم برنامه‌های روزانه، جلسات، ملاقات ها، سفرها و بازدیدهاپاسخگویی به تلفن‌ها و مراجعان مربوط  انجام سایر امور محوله در حوزه وظایف سازمانی از سوی مقام مافوقتهیه پیش نویس و پیگیری تایپ نامه‌ها و مستندات مورد نیازپیگیری مکاتبات ارسالی و دریافتی مسلط بودن به برنامه Office
",کیانویان|Kianoyan,https://jobinja.ir/companies/kianoyan/jobs/AFl2/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%DA%A9%DB%8C%D8%A7%D9%86%D9%88%DB%8C%D8%A7%D9%86?_ref=16,"['مالی و حسابداری', 'تهران، تهران', 'تمام وقت', 'کمتر از سه سال', 'توافقی', 'مالی و حسابداری', 'امور مالی', 'امور مالیاتی', 'Microsoft Excel', 'زن', 'کارشناسی']","
تهران،تهران
","
          
                          (امروز)
            
                  "
8,"
                      Blockchain Developer(مشهد)
                  ","
مجموعه کیف پول من جهت تکمیل کادر فنی خود به ۳ نفر نیروی متخصص بلاکچین با مشخصات زیر نیاز دارد .  - تسلط به golang - اشنا به شبکه های utxo و evm  بیس ها - اشنا به hdwallet و مباحث extended key - تسط به نوشتن سرویس ها برداشت (withdraw) - تسط به نوشتن سرویس های indexe  شبکه - اشنا به داکر و داکر کامپوس - تسلط به ساختار  clean architecture 
",کیفپولمن|KifPool.me,https://jobinja.ir/companies/kifpool-me-1/jobs/AFDA/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-blockchain-developer-%D9%85%D8%B4%D9%87%D8%AF-%D8%AF%D8%B1-%DA%A9%DB%8C%D9%81-%D9%BE%D9%88%D9%84-%D9%85%D9%86?_ref=16,"['وب،\u200c برنامه\u200cنویسی و نرم\u200cافزار', 'خراسان رضوی، مشهد', 'تمام وقت', '', 'توافقی', 'Blockchain', 'Golang', 'utxo', 'evm', '', 'مهم\u200c نیست', '']","
خراسانرضوی،مشهد
","
          
                          (امروز)
            
                  "
9,"
                      کارشناس دیجیتال مارکتینگ
                  ","
 آشنایی با تولید محتوای وبسایتآشنایی با رپورتاژ (از بعد ادبی و محتوایی)آشنایی بر اصول نگارش و محتوا نویسی در وب تسلط بر ادمینی شبکه های اجتماعی  و برنامه ریزی محتوا و تبلیغاتتسلط به مفاهیم بازاریابی و فروشمسلط به سئو و مفاهیم مربوط به دیجیتال مارکتینگمسلط به اصول و طرح ریزی و اجرای کمپین های تبلیغاتیمسلط به فتوشاپ ونرم افزار های ادیت عکس و فیلم دارای تعهد و مسئولیت پذیری نسبت به کار و نظم در محیط کارخلاق و پرانرژی و نوآوردارای روحیه کار تیمی روابط اجتماعی خوبدارای سابقه ی کار مفید با ارائه مستنداتامکان دورکاری
",مرکزدرماندرمنزلدَم|DAM,https://jobinja.ir/companies/dam/jobs/AFl1/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D9%85%D8%A7%D8%B1%DA%A9%D8%AA%DB%8C%D9%86%DA%AF-%D8%AF%D8%B1-%D9%85%D8%B1%DA%A9%D8%B2-%D8%AF%D8%B1%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D9%85%D9%86%D8%B2%D9%84-%D8%AF-%D9%85?_ref=16,"['دیجیتال مارکتینگ', 'تهران، تهران', 'تمام وقت', 'کمتر از سه سال', 'توافقی', 'دیجیتال مارکتینگ', ' SEO', 'تولید محتوا', '', 'مهم\u200c نیست', 'کارشناسی']","
تهران،تهران
","
          
                          (امروز)
            
                  "
